time,processid,virtual,private
11:43.1,42069,10.48190528,12.93467112
11:44.1,42069,16.29684374,20.11030518
11:45.1,42069,8.55702976,10.55937472
11:46.1,42069,10.29684857,12.70631114
11:47.1,42069,6.39359128,7.88969164
11:48.1,42069,11.29282236,13.93534279
11:49.1,42069,16.34181494,20.16579964
11:50.1,42069,11.62673039,14.3473853
11:51.1,42069,11.02581607,13.60585703
11:52.1,42069,12.98383277,16.02204964
11:53.1,42069,7.71340451,9.518341165
11:54.1,42069,6.01201854,7.418830878
11:55.1,42069,33.71992583,41.61038847
11:56.1,42069,28.07057303,34.63908712
11:57.1,42069,13.02020871,16.06693755
11:58.1,42069,11.24460804,13.87584632
11:59.1,42069,9.28837619,11.46185622
12:00.1,42069,43.64418018,53.85691834
12:01.1,42069,45.62787668,56.30479982
12:02.1,42069,17.91641813,22.10885997
12:03.1,42069,11.63535603,14.35802934
12:04.1,42069,17.88951378,22.07566
12:05.1,42069,12.20224628,15.05757191
12:06.1,42069,12.78305116,15.77428513
12:07.1,42069,13.37711665,16.50736195
12:08.1,42069,8.14111145,10.04613153
12:09.1,42069,10.28309222,12.6893358
12:10.1,42069,9.69592878,11.96477611
12:11.1,42069,11.85507145,14.62915817
12:12.1,42069,14.1975634,17.51979324
12:13.1,42069,19.85816596,24.50497679
12:14.1,42069,9.30675941,11.48454111
12:15.1,42069,9.5126961,11.73866699
12:16.1,42069,11.67506925,14.40703545
12:17.1,42069,11.15337697,13.76326718
12:18.1,42069,7.53234554,9.294914396
12:19.1,42069,16.90893838,20.86562996
12:20.1,42069,11.63043922,14.351962
12:21.1,42069,8.10786289,10.00510281
12:22.1,42069,10.82808748,13.36185995
12:23.1,42069,7.93449231,9.791163511
12:24.1,42069,7.34252297,9.060673345
12:25.1,42069,12.63623763,15.59311724
12:26.1,42069,12.07250357,14.89746941
12:27.1,42069,22.38804329,27.62684542
12:28.1,42069,11.61648731,14.33474534
12:29.1,42069,21.01684383,25.93478529
12:30.1,42069,29.5978247,36.52371568
12:31.1,42069,17.48849534,21.58080325
12:32.1,42069,58.89751609,72.67953486
12:33.1,42069,52.43930712,64.71010499
12:34.1,42069,29.59353584,36.51842323
12:35.1,42069,22.93023052,28.29590446
12:36.1,42069,42.31850642,52.22103692
