time,processid,virtual,private
11:28.1,42069,24.88919307,43.55608787
11:29.1,42069,20.64997511,36.13745644
11:30.1,42069,22.00563485,38.50986099
11:31.1,42069,24.36153245,42.63268179
11:32.1,42069,11.65007965,20.38763939
11:33.1,42069,5.38398307,9.421970373
11:34.1,42069,12.59668547,22.04419957
11:35.1,42069,11.48514648,20.09900634
11:36.1,42069,27.68067213,48.44117623
11:37.1,42069,20.83587188,36.46277579
11:38.1,42069,12.44855397,21.78496945
11:39.1,42069,18.44828614,32.28450075
11:40.1,42069,22.21016578,38.86779012
11:41.1,42069,13.01532549,22.77681961
11:42.1,42069,11.46055899,20.05597823
11:43.1,42069,10.48190528,18.34333424
11:44.1,42069,16.29684374,28.51947655
11:45.1,42069,8.55702976,14.97480208
11:46.1,42069,10.29684857,18.019485
11:47.1,42069,6.39359128,11.18878474
11:48.1,42069,11.29282236,19.76243913
11:49.1,42069,16.34181494,28.59817615
11:50.1,42069,11.62673039,20.34677818
11:51.1,42069,11.02581607,19.29517812
11:52.1,42069,12.98383277,22.72170735
11:53.1,42069,7.71340451,13.49845789
11:54.1,42069,6.01201854,10.52103245
11:55.1,42069,33.71992583,59.0098702
11:56.1,42069,28.07057303,49.1235028
11:57.1,42069,13.02020871,22.78536524
11:58.1,42069,11.24460804,19.67806407
11:59.1,42069,9.28837619,16.25465833
12:00.1,42069,43.64418018,76.37731532
12:01.1,42069,45.62787668,79.84878419
12:02.1,42069,17.91641813,31.35373173
12:03.1,42069,11.63535603,20.36187305
12:04.1,42069,17.88951378,31.30664912
12:05.1,42069,12.20224628,21.35393099
12:06.1,42069,12.78305116,22.37033953
12:07.1,42069,13.37711665,23.40995414
12:08.1,42069,8.14111145,14.24694504
12:09.1,42069,10.28309222,17.99541139
12:10.1,42069,9.69592878,16.96787537
12:11.1,42069,11.85507145,20.74637504
12:12.1,42069,14.1975634,24.84573595
12:13.1,42069,19.85816596,34.75179043
12:14.1,42069,9.30675941,16.28682897
12:15.1,42069,9.5126961,16.64721818
12:16.1,42069,11.67506925,20.43137119
12:17.1,42069,11.15337697,19.5184097
12:18.1,42069,7.53234554,13.1816047
12:19.1,42069,16.90893838,29.59064217
12:20.1,42069,11.63043922,20.35326864
12:21.1,42069,8.10786289,14.18876006
12:22.1,42069,10.82808748,18.94915309
12:23.1,42069,7.93449231,13.88536154
12:24.1,42069,7.34252297,12.8494152
12:25.1,42069,12.63623763,22.11341585
12:26.1,42069,12.07250357,21.12688125
12:27.1,42069,22.38804329,39.17907576
12:28.1,42069,11.61648731,20.32885279
12:29.1,42069,21.01684383,36.7794767
12:30.1,42069,29.5978247,51.79619323
12:31.1,42069,17.48849534,30.60486685
12:32.1,42069,58.89751609,103.0706532
12:33.1,42069,52.43930712,91.76878746
12:34.1,42069,29.59353584,51.78868772
12:35.1,42069,22.93023052,40.12790341
12:36.1,42069,42.31850642,74.05738624
